Last     |  Screen Name      |  Followers           |  Statuses |  Creation |  Name                                                |  description                                                                                                                                                                                            |  URL
2021:04  |  gametheory101    |  1846                |  2929     |  2011:07  |  William Spaniel                                     |  Assistant professor @PittTweet. Previously @StanfordCISAC and  @UofR. Studies war. Also the disembodied voice behind Game Theory 101 on YouTube.                                                       |  https://williamspaniel.com/
2021:04  |  garyyounge       |  135004              |  10847    |  2010:05  |  Gary Younge                                         |  Professor of Sociology at University of Manchester. Journalist. Author. Broadcaster. Former Guardian columnist. Type Media Fellow. Instagram garyyounge                                                |  https://www.garyyounge.com/
2021:04  |  ghadfield        |  3710                |  2323     |  2009:04  |  Gillian Hadfield                                    |  Author of Rules for a Flat World. Law and economics professor exploring the legal innovation needed to keep up with 21st century technology and globalization.                                         |  https://www.law.utoronto.ca/faculty-staff/full-time-faculty/gillian-hadfield
2021:04  |  gillianmsmith    |  3808                |  14200    |  2009:06  |  Dr. Gillian Smith                                   |  Associate Professor @WPI. Game design, AI, computational craft, generative design, textiles, feminism, mom stories, dog photos. she/they                                                               |  https://www.sokath.com/
2021:04  |  hakeemjefferson  |  21878               |  22818    |  2008:12  |  Hakeem Jefferson                                    |  Assistant professor of political science @stanfordpolisci. Race is the central organizing feature of American politics. Nothing else comes close. Pro-democracy.                                       |  https://www.hakeemjefferson.com/
2021:04  |  HC_Richardson    |  253319              |  89101    |  2013:04  |  Heather Cox Richardson (TDPR)                       |  Historian. Author. Professor. Budding Curmudgeon. I study the contrast between image and reality in America, especially in politics.                                                                   |  https://bit.ly/3qZ7aWA
2021:04  |  histoftech       |  31056               |  75900    |  2011:10  |  Mar Hicks                                           |  Historian of technology. Professor. Tech commentator. Former sysadmin. Tells dad jokes. They/them. Books: https://t.co/3R90FD2rRt                                                                      |  https://bit.ly/marhicksdotcom
2021:04  |  IAugenstein      |  7997                |  2539     |  2012:02  |  Isabelle Augenstein                                 |  Associate Professor @CopeNLU @uni_copenhagen, research co-lead @checkstep Formerly @ucl_nlp, @SheffieldNLP AI, Natural Language Processing, Machine Learning                                           |  https://isabelleaugenstein.github.io/
2021:04  |  ibogost          |  106942              |  2518     |  2007:06  |  Ian Bogost                                          |  Writer & game designer. Professor of media studies, computing, business, architecture @GeorgiaTech. Contributing Writer @TheAtlantic. Editor @ObjectsObjects.                                          |  https://www.basicbooks.com/titles/ian-bogost/play-anything/9780465051724/
2021:04  |  JacquelynGill    |  97002               |  112184   |  2010:02  |  Dr. Jacquelyn Gill                                  |  Ice Age ecologist in a warming world. Associate Professor at @UMaines Climate Change Institute. Host of @ourwarmregards. #TeamMuskOx She/her                                                           |  https://contemplativemammoth.wordpress.com/
2021:04  |  jaimiegradus     |  6320                |  6457     |  2009:02  |  Jaimie Gradus                                       |  Psychiatric Epidemiologist | Associate Professor of Epidemiology @BUSPH and Psychiatry @BUMedicine | Visiting Associate Professor @dceaarhus | AE @AmJEpi.                                             |  No url
2021:04  |  JanetMurray      |  3326                |  7589     |  2009:04  |  Janet H. Murray                                     |  Professor, Digital Media Graduate Program, Georgia Tech; author: Hamlet on the Holodeck; https://t.co/xKkbXWHvxB;  Opinions my own. she/her                                                            |  https://lcc.gatech.edu/~murray
2021:04  |  jb03hf           |  523                 |  6100     |  2014:08  |  Dr. Joseph A Brown                                  |  Associate Professor/Head of Artificial Intelligence in Games Development Lab, Innopolis University; Canadian in Kazan, Russia; #ISWNetwork Trainer; IEEE Sr. M                                         |  No url
2021:04  |  jdportes         |  72821               |  90317    |  2011:02  |  Jonathan Portes                                     |  Professor of Economics, King's College London; Senior Fellow, UK in a Changing Europe.  Personal views only; usual disclaimers apply.                                                                  |  https://www.ukandeu.ac.uk/
2021:04  |  jenniferdoleac   |  36974               |  41637    |  2009:08  |  Jennifer Doleac                                     |  Economics professor @TAMU. Director @JusticeTechLab. Host of the @ProbCausation podcast. I study crime & discrimination.  Buy me a : https://t.co/vPRuTCjt25                                           |  https://www.jenniferdoleac.com/
2021:04  |  jenterysayers    |  4458                |  15450    |  2009:12  |  Jentery Sayers                                      |  Crossed wires | Associate Professor | University of Victoria | He/Him/His                                                                                                                              |  No url
2021:04  |  jichenz          |  396                 |  251      |  2009:02  |  Jichen Zhu                                          |  Human AI Interaction researcher. Associate professor of Digital Media | IT University of Copenhagen                                                                                                    |  No url
2021:04  |  JMalazita        |  770                 |  1304     |  2009:03  |  Jim Malazita                                        |  Assistant Professor @RPI_sts. Writing about @UnrealEngine #STS, #DigitalHumanities,  #GameDesign. @TacticalDH he/him                                                                                   |  https://www.jmalazita.com/
2021:04  |  karl_jacoby      |  7156                |  28301    |  2015:08  |  Dr. Karl Jacoby                                     |  Professor of History at Columbia / Author of The Strange Career of William Ellis, Shadows at Dawn, and Crimes Against Nature / BLACK LIVES MATTER                                                      |  https://t.co/nf9RcAKW6Y
2021:04  |  KathrynBrownell  |  2318                |  1014     |  2012:06  |  Dr. Kathryn Brownell                                |  Associate professor at Purdue University in American history with a focus on media & politics. Co-editor of @madebyhistory                                                                             |  https://kathryncramerbrownell.com/
2021:04  |  KathrynMcGarr    |  978                 |  29       |  2015:07  |  Kathryn McGarr                                      |  historian, assistant professor at the school of journalism and mass communication at UW-Madison                                                                                                        |  No url
2021:04  |  KayFButterfield  |  8911                |  6725     |  2010:11  |  KayFirth-Butterfield                                |  Head AI & ML, Ex Comm @wef, vice-chair ieee global initiative on AI ethical design. Professor Author. Law, Ethics Int. Rels & AI @RespRobotics @leverhulmeCFI                                          |  https://www.weforum.org/platforms/shaping-the-future-of-technology-governance-artificial-intelligenc
2021:04  |  KeishaBlain      |  68150               |  73113    |  2014:09  |  Dr. Keisha N. Blain                                 |  Award-winning #Historian, #Professor, and #Writer | @AAIHS President |@MSNBC Columnist | New book on #FannieLouHamer (drops on 10.5.21): https://t.co/YA0lMMPUA6                                       |  https://keishablain.com/
2021:04  |  KishonnaGray     |  6684                |  37770    |  2010:05  |  K.L.Gray                                            |  Digital Herstorian; #CiteHerWork; #GrayTest; welfare class scholar; #IntersectionalTech; gamer posing as professor; opinions are mine but should be yours                                              |  https://lsupress.org/books/detail/intersectional-tech/
2021:04  |  KremserWaldemar  |  461                 |  162      |  2020:03  |  Waldemar Kremser                                    |  Assistant Professor of Organization Design and Development interested in #routinedynamics #selfmanagement #futureofwork #interdependence #strategy #innovation                                         |  https://www.researchgate.net/profile/Waldemar_Kremser
2021:04  |  KyleLSaunders    |  2111                |  2864     |  2008:04  |  Kyle Saunders                                       |  Professor of Political Science @ColoradoStateU (behavior/polpsych/parties/elections/policy); #firstgen; RTE                                                                                            |  https://kylesaunders.com/
2021:04  |  ladyaeva         |  4456                |  98409    |  2013:08  |  perf and perf accessories                           |  Professor of computational oneiromancy.  Curses are just blessings with caveats.  I am trans.  Black lives matter.                                                                                     |  No url
2021:04  |  laurenfklein     |  9538                |  7132     |  2009:05  |  Lauren Klein                                        |  Digital humanities, data science, cycling, eating, associate professor of English & Quantitative Theory & Methods at Emory. She/her. New book: https://t.co/fSs3hH2h4w.                                |  https://lklein.com/
2021:04  |  laurensklaroff   |  2308                |  1288     |  2016:02  |  LaurenSklaroff                                      |  Professor @UofSC. History. Popular Culture. Race and Ethnicity. Author Black Culture and the New Deal. Red Hot Mama: Life of Sophie Tucker. Mom of J,A,H.                                              |  https://artsandsciences.sc.edu/hist/lauren-rebecca-sklaroff
2021:04  |  lessig           |  355760              |  15031    |  2007:12  |  Lessig                                              |  Law professor, activist, citizen, father (in reverse order).                                                                                                                                           |  https://lessig.org/
2021:04  |  levendowski      |  6060                |  571      |  2013:04  |  Amanda Levendowski                                  |  Associate Professor @georgetownlaw. Researching intellectual property, technology + information policy. Wikipedia editor. She/her. PGP: 04A3 7723 31B1 2359.                                           |  https://www.levendowski.net/
2021:04  |  louishyman       |  12739               |  3271     |  2009:05  |  Louis Hyman                                         |  Historian of capitalism, and other fun stuff. Professor of History. Director, Institute for Workplace Studies, NYC. readme.txt: https://t.co/vHotuzLVn8                                                |  https://www.louishyman.com/
2021:04  |  manovich         |  22725               |  13495    |  2008:02  |  manovich                                            |  My new book "Cultural Analytics" has been published by The MIT Press in October 2020 /  Professor, @GC_CUNY | https://t.co/GfGDiFlpnY | https://t.co/GtaWT91sHh                                        |  https://www.manovich.net/
2021:04  |  mark_riedl       |  18781               |  31394    |  2009:12  |  Mark O. Riedl                                       |  AI for storytelling, games, explainability, safety, ethics. Professor @GeorgiaTech. Associate Director @MLatGT. Time travel expert. Geek. Dad. he/him                                                  |  https://eilab.gatech.edu/mark-riedl
2021:04  |  mathematicsprof  |  76670               |  10157    |  2009:04  |  math prof                                           |  I am a professor of mathematics with interests in partial differential equations.                                                                                                                      |  https://t.co/S5UYjaKJ3N
2021:04  |  Matt_A_Sutton    |  1983                |  473      |  2016:04  |  Matthew Avery Sutton                                |  Professor of history at WSU, writer, dad, husband                                                                                                                                                      |  https://history.wsu.edu/faculty/matthew-a-sutton/
2021:04  |  mclduk           |  2377                |  8812     |  2009:03  |  Dan Stowell                                         |  Audio and machine learning research, especially birdsong. Associate Professor of AI & Biodiversity                                                                                                     |  https://t.co/xjkH3cC4tg
2021:04  |  michel_estefan   |  827                 |  3127     |  2011:06  |  Michel Estefan                                      |  Assistant Teaching Professor of Sociology @UCSanDiego: theory, rule of law, the state. Justice-focused pedagogy. he/him. Mexicano. Autor de https://t.co/aQslQwaTBn                                    |  https://shorturl.at/aeghQ
2021:04  |  MicNick11        |  1868                |  1233     |  2016:05  |  "That's Dr." Michelle Nickerson                     |  cantankerous history professor and take-no-prisoners parent of a Chicago public school child                                                                                                           |  https://michellenickerson.com/
2021:04  |  mike_treanor     |  1001                |  5869     |  2009:05  |  Mike Treanor                                        |  Associate Professor of Computer Science at American University. Game Design, Theory, AI (@AmericanU @augamelab). @brontreanor enthusiast.                                                              |  https://www.mtreanor.com/
2021:04  |  mireillemoret    |  5847                |  25208    |  2011:12  |  Mireille Hildebrandt                                |  Law Philosophy, Professor in Brussels and Nijmegen, ERC ADG on Counting as a human being in the era of computational law                                                                               |  https://scholar.google.nl/citations?user=r3Os9_4AAAAJ&hl=nl
2021:04  |  mldauber         |  14069               |  15538    |  2010:05  |  Michele Dauber                                      |  Professor @Stanford, Chair of @recallpersky, Chair of @enoughvoter, author of https://t.co/jmeVYR4aqn. Hobbies: backpacking, skiing, and ranting.                                                      |  https://enoughisenoughvoter.org/
2021:04  |  molleindustria   |  15298               |  12596    |  2010:07  |  Paolo Pedercini                                     |  Game maker, professor at Carnegie Mellon University. My employer has many, often contradicting, views. @likelikearcade founder. he/him                                                                 |  https://t.co/f065g2oR8H
2021:04  |  nealen           |  3211                |  6690     |  2007:04  |  Andy Nealen                                         |  game creator and scholar, artist and music maker, computer scientist, architect, engineer, professor @ USC, co-host of @eggplantshow. He/him.                                                          |  https://www.nealen.net/
2021:04  |  nicholas_bagley  |  32446               |  24205    |  2013:11  |  Nicholas Bagley                                     |  Law professor at the University of Michigan. Contributor at the Incidental Economist.                                                                                                                  |  https://www.law.umich.edu/FacultyBio/Pages/FacultyBio.aspx?FacID=nbagley
2021:04  |  Nick_Lalone      |  2571                |  44913    |  2009:03  |  Nick LaLone                                         |  Assistant Professor @unocist  I focus on integrating tech with emergency management in practical ways including design fiction, role-playing, and simulations.                                         |  https://nicklalone.com/
2021:04  |  onlinealchemist  |  875                 |  7173     |  2010:11  |  Mike Sellers - always working on N+1 projects       |  Game designer, university professor, AI researcher, dad, husband. Not in that order. (he/him)                                                                                                          |  https://t.co/8nLobWtlk8
2021:04  |  PepePierce       |  18943               |  5864     |  2009:08  |  Joseph M. Pierce                                    |  Cherokee Nation Citizen | Associate Professor of Latin American and Indigenous Studies | Brownly loitering                                                                                             |  https://josephmpierce.com/
2021:04  |  pereztruglia     |  2758                |  795      |  2013:03  |  Ricardo Perez-Truglia                               |  Economics Professor @BerkeleyHaas. Cumbiero intelectual.                                                                                                                                               |  https://haas.berkeley.edu/faculty/ricardo-perez-truglia/
2021:04  |  primalpoly       |  93799               |  39180    |  2015:09  |  Geoffrey Miller                                     |  Psychology professor; wrote The Mating Mind, Spent, Mate, & Virtue Signaling. Themes: Evolution, sentience, civilization, EA, X risk, crypto. Wife: @sentientist                                       |  https://www.primalpoly.com/
2021:04  |  ProfHendershot   |  2712                |  3178     |  2017:05  |  Heather Hendershot                                  |  MIT professor, media historian, author of Open to Debate: How William F. Buckley Put Liberal America on the Firing Line                                                                                |  https://heatherhendershot.com/
2021:04  |  ProfMarkElliott  |  30539               |  6554     |  2012:07  |  Mark Elliott                                        |  Professor of Public Law & Chair of the Faculty of Law, University of Cambridge. Author of https://t.co/HCKIdjSnlf                                                                                      |  https://t.co/SKDAvmmQO4
2021:04  |  profmusgrave     |  45509               |  36209    |  2006:12  |  Paul Musgrave                                       |  Political scientist. Professor. Writer. Mitchell Scholar. Reproached by Mikhail Gorbachev. You want it to be one way, but its the other way.                                                           |  https://www.paulmusgrave.info/
2021:04  |  RadioFreeTom     |  514862              |  362447   |  2012:01  |  Tom Nichols                                         |  Professor, author of "Our Own Worst Enemy." Curmudgeon. Cat guy. Democracy enthusiast. Board of Contributors, @USAToday, Contributing Writer, @TheAtlantic.                                            |  https://www.amazon.com/Our-Own-Worst-Enemy-Democracy/dp/0197518877
2021:04  |  raulpacheco      |  45890               |  370895   |  2008:07  |  Dr Raul Pacheco-Vega                                |  Professor @FlacsoMx, water, waste, public policy, environmental politics, mixed/experimental methods #ScholarSunday founder. Coffee lover. SNI 1 @iheal_creda VP                                       |  https://www.raulpacheco.org/
2021:04  |  RepKatiePorter   |  995676              |  2213     |  2019:01  |  Rep. Katie Porter                                   |  Representative for #CA45. Minivan-driving single mom, law professor, consumer advocate  Usually carrying a whiteboard, always bringing the receipts                                                    |  https://porter.house.gov/
2021:04  |  rich_lem         |  15498               |  14196    |  2007:03  |  Richard  Lemarchand #BLM                            |  Former @Naughty_Dog Lead Game Designer, now a professor in the @USCGames program. Writing a book for @MITPress, working on @PhenomenologyVR. He/him.                                                   |  https://www.richardlemarchand.com/
2021:04  |  rndmcnlly        |  1554                |  3931     |  2008:05  |  Adam M. Smith                                       |  Assistant Professor of Computational Media at UC Santa Cruz; applied artificial intelligence & information retrieval for interactive media; he/him; adhd.                                              |  https://adamsmith.as/
2021:04  |  robmalouf        |  550                 |  844      |  2010:05  |  Rob Malouf                                          |  Professor of linguistics, San Diego State University                                                                                                                                                   |  https://malouf.sdsu.edu/
2021:04  |  rothmanistan     |  24931               |  7662     |  2014:10  |  Joshua D. Rothman                                   |  Professor of History, scholar of slavery. Author of The Ledger and the Chain, forthcoming from Basic Books, April 2021.                                                                                |  No url
2021:04  |  ruha9            |  49332               |  16669    |  2009:06  |  Ruha Benjamin                                       |  Founding Director, Ida B. Wells Just Data Lab.   Author @NewJimCode + @Peoples_Science. Professor @PrincetonAAS @Princeton. Organizer @blacktofuture #NewJimCode                                       |  https://www.ruhabenjamin.com/
2021:04  |  s_mouritsen      |  725                 |  3558     |  2017:04  |  Stephen Mouritsen                                   |  Attorney, adjunct professor of the theory and practice of legal interpretation and law and corpus linguistics.                                                                                         |  https://papers.ssrn.com/sol3/cf_dev/AbsByAuth.cfm?per_id=1345493
2021:04  |  safiyanoble      |  58722               |  18504    |  2009:06  |  Safiya Umoja Noble PhD                              |  New book, Algorithms of Oppression https://t.co/jjr2LhV78o also avail on Audible & Kindle. Researcher, professor @UCLA, expert on racism, sexism, & tech.                                              |  https://safiyaunoble.com/
2021:04  |  sarahlouwou      |  6000                |  45703    |  2010:01  |  Sarah Woulfin                                       |  Associate Professor at UConn. An advocate for schools, a policy & org theory nerd, and a mom & runner. All tweets are my own sensemaking.                                                              |  https://education.uconn.edu/person/sarah-woulfin/
2021:04  |  seema_econ       |  27256               |  2716     |  2016:08  |  Seema Jayachandran                                  |  Economics professor. I tweet mostly about economics + other social science research that catches my fancy.                                                                                             |  https://seemajayachandran.com/
2021:04  |  simonjhix        |  34275               |  20561    |  2012:02  |  Simon Hix                                           |  Political Science Professor. LSE Pro-Director for Research. FBA FRSA. Chair of https://t.co/7ZT7u2w5eH. Research democracy, parties, elections, electoral systems etc. COYI                            |  https://simonhix.com/
2021:04  |  SLdeLange        |  12087               |  19470    |  2011:12  |  Prof. Sarah de Lange                                |  Dr. J.M. den Uyl Professor | Extremism, populism, radicalism scholar | Active for @IISG_Amsterdam @NetwerkDem @NECE_Network @Prodemos | Zeeuws meisje                                                  |  https://www.uva.nl/en/profile/l/a/s.l.delange/s.l.delange.html
2021:04  |  snaidunl         |  14344               |  3463     |  2010:11  |  Suresh                                              |  Economics professor @Columbia. I work on political economy in/and historical labor markets. @coreeconteam contributor. Expat newf.                                                                     |  https://www.santafe.edu/~snaidu
2021:04  |  SocialSciNerd    |  7461                |  61511    |  2010:04  |  Professor Off-Topic                                 |  Opinions on my personal acct aren't peer-reviewed. Criminologist. Educator. #DomesticTerrorism is my research area. Co-host of the @ScholarsShots podcast.                                             |  No url
2021:04  |  StaciwithaZ      |  1873                |  9145     |  2010:09  |  Dr. Staci Zavattaro                                 |  Professor of PA at UCF. Editor-in-Chief, Administrative Theory & Praxis. #FirstGen. "Runner." Sorta baker.                                                                                             |  https://tinyurl.com/cpfpg8a
2021:04  |  stat110          |  15273               |  4980     |  2010:08  |  Joe Blitzstein                                      |  Statistics professor at Harvard; statistician and data scientist; probability and paradoxes; Bayesian frequentist reconciliation; chess.                                                               |  https://t.co/8lp0xl7d6E
2021:04  |  StatGirlLAM      |  5481                |  7432     |  2016:07  |  Dr. Leslie McClure                                  |  Professor & Chair, #Epidemiology & #Biostatistics and AD Faculty Affairs at Drexel. RCT statistician, w/ some Environmental Epi sprinkled in. Runner. she/her                                          |  https://statgirlblog.wordpress.com/
2021:04  |  TahaYasseri      |  6374                |  3003     |  2009:07  |  Taha Yasseri                                        |  Computational Social Scientist, Associate Professor of Sociology at @ucdsociology via Oxford, Budapest, Gttingen, Tehran. PhD in Physics of Complex Systems.                                           |  https://tahayasseri.com/
2021:04  |  TimLombard0      |  6668                |  7515     |  2015:04  |  Timothy J Lombardo                                  |  Historian. Professor. Aging punk rock kid. Philly native gone south. Author, Blue-Collar Conservatism https://t.co/8oYS2rs4Xg. Next project on craft beer & urban renewal                              |  https://southalabama.academia.edu/TimothyLombardo
2021:04  |  togelius         |  11553               |  16556    |  2009:01  |  Julian Togelius                                     |  AI and games researcher. Associate professor at NYU; Editor-in-Chief of @IEEETxnOnGames; director of @NYUGameLab; co-founder of https://t.co/MHwPXADC3S.                                               |  https://t.co/j74XjVzSps
2021:04  |  urbaneprofessor  |  5676                |  122504   |  2010:12  |  Peter Matthews (he/him)                             |  Egregious Regius, Senior GIF Lecturer, Uni. of Felpersham. Aspires to charisma, uniqueness, nerve & talent. Fondle my roundabouts; worry my cows. He is Pink.                                          |  https://drpetermatthews.blogspot.com/
2021:04  |  WorldProfessor   |  30570               |  105499   |  2012:03  |  Walter D. Greason                                   |  @MUSchoolofEduca.  #WakandaSyllabus (2016), #RacialViolenceSyllabus (2017), #CitiesImagined (2018), #TThomasFortune (2019), #SojournersTrail (2020). We/Us.                                            |  https://www.walterdgreason.com/
2021:04  |  yanisvaroufakis  |  1028020             |  19399    |  2010:03  |  Yanis Varoufakis                                    |  Economics professor, quietly writing obscure economic texts for years, until thrust onto the public scene by Europe's inane handling of an inevitable crisis                                           |  https://www.yanisvaroufakis.eu/
2021:04  |  yannakakis       |  2384                |  544      |  2011:09  |  Georgios N. Yannakakis                              |  AI, games, computational creativity, affective computing. Professor, Director @InDigitalGames. Co-author of https://t.co/WvhgaoEPdF. Co-founder of @modl_ai                                            |  https://yannakakis.net/
2021:04  |  zeynep           |  453130              |  103024   |  2009:08  |  zeynep tufekci                                      |  Complex systems, wicked problems. Society, technology and more. @UNC professor. Word in @TheAtlantic & @NYTimes. My newsletter is @insight: https://t.co/NfMqinFg9E                                    |  https://www.theinsight.org/
2021:04  |  zimmermaneric    |  13527               |  5490     |  2009:05  |  Eric Zimmerman                                      |  I practice game design. Recent project: https://t.co/IcCN59uu7s. Co-author https://t.co/ieMOhJ0u5C. Professor https://t.co/B8GV0YzPX9.                                                                 |  https://ericzimmerman.com/
